name,role,win_rate,pick_rate,category
Teemo,TOP,0.505,0.0519,balanced
Gragas,MID,0.506,0.0075,balanced
Yone,MID,0.506,0.093,balanced
Volibear,JUNGLE,0.5061,0.0207,balanced
Evelynn,JUNGLE,0.5064,0.0483,balanced
Varus,ADC,0.5066,0.0875,balanced
Lillia,TOP,0.5068,0.0084,balanced
Kai'Sa,ADC,0.507,0.1808,balanced
Leona,SUPPORT,0.5072,0.049,balanced
Neeko,MID,0.5074,0.0163,balanced
Trundle,JUNGLE,0.5074,0.0209,balanced
Renekton,MID,0.5075,0.0074,balanced
Neeko,TOP,0.5076,0.0022,balanced
Lux,SUPPORT,0.5079,0.1403,balanced
Kindred,JUNGLE,0.508,0.0612,balanced
Lulu,SUPPORT,0.5083,0.0863,balanced
Taric,SUPPORT,0.5083,0.0175,balanced
Olaf,JUNGLE,0.5084,0.0061,balanced
Draven,ADC,0.5086,0.0661,balanced
Blitzcrank,SUPPORT,0.5087,0.0695,balanced
Vel'Koz,SUPPORT,0.5088,0.0213,balanced
Tristana,ADC,0.5091,0.0812,balanced
Tryndamere,TOP,0.5092,0.0283,balanced
Veigar,MID,0.5093,0.0407,balanced
Irelia,MID,0.5095,0.06,balanced
Sejuani,JUNGLE,0.5096,0.0346,balanced
Shaco,SUPPORT,0.51,0.0129,balanced
Cassiopeia,ADC,0.5101,0.0023,balanced
Jax,TOP,0.5105,0.0633,balanced
Maokai,TOP,0.5105,0.006,balanced
Brand,SUPPORT,0.5106,0.0435,balanced
Fizz,MID,0.5106,0.0323,balanced
Rakan,SUPPORT,0.5106,0.0335,balanced
Morgana,SUPPORT,0.5109,0.0804,balanced
Kog'Maw,ADC,0.511,0.0226,balanced
Illaoi,TOP,0.5111,0.041,balanced
Miss Fortune,ADC,0.5111,0.1022,balanced
Ekko,MID,0.5114,0.028,balanced
Kennen,MID,0.5116,0.0027,balanced
Bel'Veth,JUNGLE,0.512,0.0415,balanced
Warwick,JUNGLE,0.5121,0.0761,balanced
Xin Zhao,JUNGLE,0.5126,0.0206,balanced
Kled,TOP,0.5128,0.0182,balanced
Poppy,TOP,0.5138,0.0079,balanced
Malzahar,MID,0.514,0.0487,balanced
Jhin,ADC,0.5141,0.1493,balanced
Malphite,MID,0.5146,0.0075,balanced
Vex,MID,0.5146,0.0501,balanced
Ekko,JUNGLE,0.5147,0.0658,balanced
Zeri,ADC,0.5148,0.092,balanced
Twitch,ADC,0.5149,0.0655,balanced
Fiora,TOP,0.5151,0.0893,balanced
Anivia,MID,0.5153,0.0192,balanced
Renata Glasc,SUPPORT,0.5153,0.0426,balanced
Lux,MID,0.5154,0.0537,balanced
Akshan,TOP,0.5155,0.0088,balanced
Akshan,MID,0.5155,0.0249,balanced
Amumu,JUNGLE,0.5155,0.021,balanced
Diana,MID,0.5155,0.0259,balanced
Lillia,JUNGLE,0.5157,0.0485,balanced
Master Yi,JUNGLE,0.5159,0.0798,balanced
Mordekaiser,TOP,0.5159,0.0858,balanced
Jayce,MID,0.5164,0.0051,balanced
Yorick,TOP,0.5164,0.025,balanced
Ziggs,MID,0.5168,0.0141,balanced
Viktor,MID,0.5169,0.0538,balanced
Udyr,JUNGLE,0.5171,0.0728,balanced
